title,purpose,category
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Subject
All-Party Parliamentary Grop on Wellbeing Economics,To share the latest in wellbeing science with parliamentarians and convene experts and evidence in order to inform policies to improve wellbeing in the UK.,Subject
West Coast Main Line All-Party Parliamentary Group,To work in consultation with the West Coast Rail 250 Campaign for the upgrading and continued renewal of the infrastructure and rolling stock on the West Coast Main Line.,Subject
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Subject
All-Party Parliamentary Group on the Western Rail Link to Heathrow,To support the case for and delivery of the Western Rail Link to Heathrow.,Subject
All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Subject
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Subject
All-Party Parliamentary group on Wine and Spirits,"To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers, including English wine and British spirits; and to introduce parliamentarians to members of the trade from their constituencies.",Subject
Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Subject
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Subject
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Subject
All-Party Parliamentary Group on Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Subject
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Subject
"All-Party Parliamentary Group on Women, Peace and Security","To provide a forum for the discussion and analysis of issues relating to women, peace and security, bringing together civil society, policy-makers and parliamentarians. Focused on UK implementation of Security Council Resolution 1325, the APPG promotes the vital role women play in peacebuilding, conflict resolution and post-conflict reconstruction globally.",Subject
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Subject
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Subject
All-Party Parliamentary Group on Working at Height,"Falls from height and falling objects from height account for the highest number of preventable fatalities and injuries across all sectors in UK industry. The APPG will seek to understand the root causes and propose effective, sensible measures to reduce this toll and send people safely home from work.",Subject
All-Party Parliamentary Group on the World Bank and International Monetary Fund,"To raise awareness among parliamentarians about the work of the IMF and World Bank, including its contributions to raising living standards, long term economic development and poverty reduction.",Subject
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Subject
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",Subject
All-Party Parliamentary Group on Yoga in Society,To bring to the notice of Parliament and the public the long-term beneficial effects of Yoga within society and in particular in: health (physical and mental); the workplace (wellbeing and teamwork); the criminal justice system (for criminals and police); and education (for students and teachers).,Subject
All-Party Parliamentary Group for Yorkshire and Northern Lincolnshire,"To bring MPs of all parties together with key leaders - those in local government, the private sector and social enterprise - to help maximise future investment in the region for the benefit of all local communities and economies.",Subject
All-Party Parliamentary Group for Young Disabled People,"To work within Parliament for the interests of young disabled people with mobility difficulties, in particular to fight against the social injustices experienced by these young people.",Subject
All-Party Parliamentary Group on Young People's Health,"To bring together parliamentarians, health system partners, the voluntary sector and other stakeholders from across the political spectrum to promote and facilitate discussion around young people and their health.",Subject
All-Party Parliamentary Group on Youth Affairs,"To raise the profile of issues which affect and concern young people; to encourage dialogue between parliamentarians, young people and youth services; and to encourage a co-ordinated and coherent approach to policy making on youth affairs.",Subject
All-Party Parliamentary Group on Youth Employment,To promote youth employment in all its forms and the role of young people within the economy; to ensure that young people's voices are heard; to highlight the need for quality opportunities; and to share best practice.,Subject
Zoos and Aquariums All-Party Parliamentary Group,"To raise awareness of the conservation, education, research and animal welfare work of British zoos and aquariums, highlighting best practice and promoting the international reputation of zoos and aquariums; and to facilitate relevant conversations around the issues faced by this profession.",Subject
Zoroastrian All-Party Parliamentary Group,"To promote the interests of the British Zoroastrian community and interest in the Zoroastrian faith both inside and outside parliament, as well as improving links with fellow Zoroastrian parliamentarians from around the world.",Subject
