title,purpose,category,benefit_source,benefit_description,benefit_value_lower,benefit_value_higher,benefit_received,benefit_registered
All-Party Parliamentary Group on Vascular and Venous Disease,"To raise awareness of vascular and venous disease and to encourage actions to promote a greater priority for its prevention and treatment; to encourage research into the causes of vascular and venous disease; to advance excellence and innovation in vascular and venous disease, and related cardiovascular conditions.",Subject,PB Consulting,"PB Consulting is funded to act as the group's secretariat by Medtronic Ltd, Boston Scientific, Gore Medical, Terumo Corporation, Becton Dickinson and Cook Medical. From 11/07/2019 To 10/07/2020",54001,55500,2019-07-11,2019-11-04
All-Party Parliamentary Group on Vegetarianism and Veganism,"To provide a forum for parliamentarians, academics, organisations and interested individuals to meet to promote and raise awareness of vegetarianism and veganism and to discuss issues relating to vegetarian and vegan lifestyles.",Subject,The Vegan Society,Secretariat From 17/07/2019 To 16/07/2020,4501,6000,2019-07-17,2019-07-30
All-Party Parliamentary Group on Video Games and Esports,"To work with the games and interactive entertainment industry, including with its trade body UK Interactive Entertainment, to promote the industry's economic, technological and cultural contributions within Parliament.",Subject,UK Interactive Entertainment,Secretariat From 06/09/2018 To 05/09/2019,3001,4500,2018-09-06,2018-11-14
All-Party Parliamentary Group on Visas and Immigration,The APPG on visas and immigration will focus on these specific issues and examine potential changes that could be introduced.,Subject,Garden Court Chambers,Secretariat From 17/07/2018 To 16/07/2019,1501,3000,2018-07-17,2018-11-13
All-Party Parliamentary Water Group,To provide a focus for members to monitor government and regulatory policy and maintain a dialogue with consumers and those with an interest or a duty in relation to the environment and the water industry.,Subject,Connect,"Connect is paid by the following to act as the group's secretariat: Wessex Water, Plastic Pipes Group, Affinity Water, Future Water Association, and Water UK. From 27/06/2019 To 26/06/2020",28501,30000,2019-06-27,2019-10-17
All-Party Parliamentary Group on Water Safety and Drowning Prevention,To raise awareness of the issue of death by drowning in the UK and to provide a forum for discussion on water safety related issues.,Subject,Brevia Consulting,Royal Life Saving Society UK pays Brevia Consulting to act as the group's secretariat From 13/09/2018 To 12/09/2019,16501,18000,2018-09-13,2018-12-19
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Subject,Policy Connect,Policy Connect is paid by Inland Waterways Association to act as the group's secretariat From 18/07/2019 To 17/07/2020,9001,10500,2019-07-18,2019-07-18
All-Party Parliamentary Grop on Wellbeing Economics,To share the latest in wellbeing science with parliamentarians and convene experts and evidence in order to inform policies to improve wellbeing in the UK.,Subject,What Works Centre for Wellbeing,Secretariat From 18/12/2018 To 17/12/2019,4501,6000,2018-12-18,2018-12-21
West Coast Main Line All-Party Parliamentary Group,To work in consultation with the West Coast Rail 250 Campaign for the upgrading and continued renewal of the infrastructure and rolling stock on the West Coast Main Line.,Subject,West Coast Rail 250 Campaign,Secretariat From 19/07/2018 To 18/07/2019,1501,3000,2018-07-19,2018-07-23
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Subject,Connect,"Connect is paid by the following to act as the group's secretariat: City Redi (The University of Birmingham), Barratt Developments, WMG (Warwick University). From 18/07/2018 To 17/07/2019",19501,21000,2018-07-18,2018-11-15
All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Subject,WhistleblowersUK,WhistleblowersUK is part funded by Constantine Cannon LLP to act as the group's secretariat From 10/07/2019 To 09/07/2020,21001,22500,2019-07-10,2019-11-04
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Subject,White Ribbon UK,Secretariat From 18/07/2018 To 17/07/2019,3001,4500,2018-07-18,2018-12-18
All-Party Parliamentary group on Wine and Spirits,"To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers, including English wine and British spirits; and to introduce parliamentarians to members of the trade from their constituencies.",Subject,Wine & Spirit Trade Association,Secretariat From 17/07/2019 To 16/07/2020,1501,3000,2019-07-17,2019-10-30
Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Subject,Dell Corporation Limited,Secretariat services are provided by Hume Brophy Communications on behalf of Dell Corporation Limited From 18/07/2018 To 17/07/2019,34501,36000,2018-07-18,2018-11-08
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Subject,Connect,"Connect is paid by the following to act as the group's secretariat: IPSE, Shaw Trust, Natwest, Centrica, University of Sussex, Young Women's Trust, Recruitment & Employment Confederation. From 19/07/2018 To 18/07/2019",34501,36000,2018-07-19,2018-11-06
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Subject,Fawcett Society,Secretariat From 19/07/2018 To 18/07/2019,1501,3000,2018-07-19,2019-02-01
All-Party Parliamentary Group on Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Subject,Howard League for Penal Reform,Secretariat From 05/07/2019 To 04/07/2020,3001,4500,2019-07-05,2019-11-04
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Subject,Women in Transport,Women in Transport are assisted by JFG Communications to act as the group's secretariat From 12/09/2018 To 11/09/2019,13501,15000,2018-09-12,2019-01-07
"All-Party Parliamentary Group on Women, Peace and Security","To provide a forum for the discussion and analysis of issues relating to women, peace and security, bringing together civil society, policy-makers and parliamentarians. Focused on UK implementation of Security Council Resolution 1325, the APPG promotes the vital role women play in peacebuilding, conflict resolution and post-conflict reconstruction globally.",Subject,Gender Action for Peace and Security,Secretariat From 10/07/2019 To 09/07/2020,4501,6000,2019-07-10,2019-10-22
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Subject,PB Consulting,PB Consulting is paid by Gedeon Richter to act as the group's secretariat. From 11/06/2019 To 10/06/2020,9001,10500,2019-06-11,2019-09-12
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Subject,PB Consulting,PB Consulting was paid by Vifor Pharma and Medtronic to organise a conference held on 04/03/2019,15001,16500,2019-03-04,2019-09-12
All-Party Parliamentary Group on Working at Height,"Falls from height and falling objects from height account for the highest number of preventable fatalities and injuries across all sectors in UK industry. The APPG will seek to understand the root causes and propose effective, sensible measures to reduce this toll and send people safely home from work.",Subject,Connect Communications,Connect Communications is paid by Access Industry Forum to act as the group's secretariat From 17/10/2018 To 16/10/2019,19501,21000,2018-10-17,2019-05-20
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Subject,Authors' Licensing and Collecting Society,Reception,3001,4500,2018-12-04,2019-05-20
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Subject,Authors' Licensing and Collecting Society,Secretariat From 17/07/2018 To 16/07/2019,3001,4500,2018-07-17,2019-05-20
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Subject,Authors' Licensing and Collecting Society,Event,3001,4500,2019-06-11,2019-06-28
All-Party Parliamentary Group on Yoga in Society,To bring to the notice of Parliament and the public the long-term beneficial effects of Yoga within society and in particular in: health (physical and mental); the workplace (wellbeing and teamwork); the criminal justice system (for criminals and police); and education (for students and teachers).,Subject,Yoga in Society,Secretariat From 22/03/2019 To 21/03/2020,4501,6000,2019-03-22,2019-05-01
All-Party Parliamentary Group for Young Disabled People,"To work within Parliament for the interests of young disabled people with mobility difficulties, in particular to fight against the social injustices experienced by these young people.",Subject,Muscular Dystrophy UK,Secretariat From 12/07/2018 To 11/07/2019,3001,4500,2018-07-12,2018-07-03
All-Party Parliamentary Group on Young People's Health,"To bring together parliamentarians, health system partners, the voluntary sector and other stakeholders from across the political spectrum to promote and facilitate discussion around young people and their health.",Subject,Association for Young People's Health,Secretariat From 14/11/2018 To 13/11/2019,4501,6000,2018-11-14,2019-04-03
All-Party Parliamentary Group on Youth Affairs,"To raise the profile of issues which affect and concern young people; to encourage dialogue between parliamentarians, young people and youth services; and to encourage a co-ordinated and coherent approach to policy making on youth affairs.",Subject,National Youth Agency,Costs met for an Inquiry held from May 2018 to January 2019,72001,73500,2018-05-25,2019-03-18
All-Party Parliamentary Group on Youth Affairs,"To raise the profile of issues which affect and concern young people; to encourage dialogue between parliamentarians, young people and youth services; and to encourage a co-ordinated and coherent approach to policy making on youth affairs.",Subject,YMCA England & Wales,Joint Secretariat From 02/11/2018 To 01/11/2019,1501,3000,2018-11-02,2019-03-18
All-Party Parliamentary Group on Youth Affairs,"To raise the profile of issues which affect and concern young people; to encourage dialogue between parliamentarians, young people and youth services; and to encourage a co-ordinated and coherent approach to policy making on youth affairs.",Subject,British Youth Council,Joint Secretariat From 02/11/2018 To 01/11/2019,1501,3000,2018-11-02,2019-03-18
All-Party Parliamentary Group on Youth Employment,To promote youth employment in all its forms and the role of young people within the economy; to ensure that young people's voices are heard; to highlight the need for quality opportunities; and to share best practice.,Subject,Youth Employment UK,Secretariat From 13/09/2018 To 12/09/2019,4501,6000,2018-09-13,2018-11-09
